,Name,Tweet Count,Tweet,Compound Score,Positive,Negative,Neutral,Date
0,BBC,100,RT @BBCTwo: Flipping AMAZING. 😲 #RobotWars https://t.co/fZidFx1nBB,0.7028,0.491,0.0,0.509,Sun Nov 26 21:12:48 +0000 2017
1,BBC,99,"RT @bbcstrictly: We're not crying, you are 😢 @keviclifton @SusanCalman #Strictly https://t.co/TbRmuFcjtJ",0.3724,0.203,0.0,0.797,Sun Nov 26 21:11:53 +0000 2017
2,BBC,98,"RT @bbcstrictly: ""This has been the best experience of my life"" ✨ RT if you've loved watching @SusanCalman and @keviclifton every week http…",0.8442,0.288,0.0,0.712,Sun Nov 26 21:11:45 +0000 2017
3,BBC,97,"RT @CBeebiesHQ: Congratulations to @HEYDUGGEE!

Winners of @BAFTA Children’s Pre-school animation at tonight’s #BAFTAKids 🙌

We’re jumping…",0.807,0.342,0.0,0.658,Sun Nov 26 21:11:33 +0000 2017
4,BBC,96,RT @BBCOne: One word: magnificent. #BluePlanet2 https://t.co/BYU9GXfipm,0.5994,0.394,0.0,0.606,Sun Nov 26 20:51:01 +0000 2017
5,BBC,95,"RT @BBCOne: 🎤 “I’m coming out. I want the world to know, got to let it show.” 🎤 #BluePlanet2 https://t.co/CDydVz7xVv",0.0772,0.075,0.0,0.925,Sun Nov 26 20:48:58 +0000 2017
6,BBC,94,'You can't mug off the Queen'. 😂 ⚒ 🎖 @MrDDyer playing Send To All with @McInTweet is brilliant.… https://t.co/OMG46hz51X,0.2023,0.107,0.0,0.893,Sun Nov 26 20:35:06 +0000 2017
7,BBC,93,RT @BBCOne: Sea otters: providing 100% of your daily requirement of cuteness. ❤️ #BluePlanet2 https://t.co/sZVOKUyVkr,0.5106,0.191,0.0,0.809,Sun Nov 26 20:20:17 +0000 2017
8,BBC,92,RT @BBCOne: Raiding the fridge in the middle of the night like… #BluePlanet2 https://t.co/RoSDcuJZpz,0.0,0.0,0.0,1.0,Sun Nov 26 20:13:59 +0000 2017
9,BBC,91,"Tonight, a team of scientists begin an expedition to Nyiragongo, one of the world's most dangerous volcanoes.… https://t.co/cP6Oo6ukqz",-0.5256,0.0,0.175,0.825,Sun Nov 26 20:03:04 +0000 2017
10,BBC,90,Can you guess the secret ingredient that magically turns into vegan mayo? Via @BBCFood. https://t.co/d8oB0dlkWR,0.0,0.0,0.0,1.0,Sun Nov 26 19:30:02 +0000 2017
11,BBC,89,'When did it get so heavy?' 🎶 💖 Hands up if you've had @AnneMarieIAm on repeat since #SLFN. 🙋 Via @BBCMusic https://t.co/Imr5DdbkPn,0.0,0.0,0.0,1.0,Sun Nov 26 19:15:04 +0000 2017
12,BBC,88,When is it not OK to pet a stranger's dog? 🙅🐶 https://t.co/KJlTScCCp3 https://t.co/TOdCkuGFhR,-0.3465,0.0,0.181,0.819,Sun Nov 26 18:30:08 +0000 2017
13,BBC,87,"""That was the happiest I've ever been"": 15-year-old Julia explains why @SimonCowell paid for her scoliosis surgery.… https://t.co/a1yrYK6FVh",0.6369,0.198,0.0,0.802,Sun Nov 26 18:03:01 +0000 2017
14,BBC,86,"As the weather takes a turn, we thought we'd celebrate the beauty &amp; splendour of what's been an awesome autumn. 🍂🍁… https://t.co/oy6fLtok2j",0.9413,0.465,0.0,0.535,Sun Nov 26 17:30:20 +0000 2017
15,BBC,85,Want to make a splash in the world of parenting? The #Motherland guide to pool parties is here to help! 🏊😂 Via… https://t.co/S390iq6fdm,0.7177,0.269,0.0,0.731,Sun Nov 26 17:00:05 +0000 2017
16,BBC,84,"RT @bbcf1: 'Thank you for everything'

Listen to the moment Felipe Massa crossed the finish line for the final time.

https://t.co/cXFgG2Pw…",0.3612,0.111,0.0,0.889,Sun Nov 26 16:46:43 +0000 2017
17,BBC,83,"RT @BBCR1: Dear #ARMY,

@AdeleRoberts has been busy over in Seoul working on a very special K-pop documentary featuring @BTS_twt! 😍

She's…",0.7082,0.246,0.0,0.754,Sun Nov 26 16:46:35 +0000 2017
18,BBC,82,RT @BBCSpringwatch: Hands up if you've spotted one of these cheeky chaps in your garden! 🙌🏽 https://t.co/po1DBtIVfC,0.0,0.0,0.0,1.0,Sun Nov 26 16:46:29 +0000 2017
19,BBC,81,RT @bbcthree: Dave is terminally ill and facing the inevitability of leaving his wife and step-kids behind. https://t.co/lLTLOTTZqi,-0.4215,0.0,0.141,0.859,Sun Nov 26 16:46:25 +0000 2017
20,BBC,80,RT @BBCTwo: Flipping AMAZING. 😲 #RobotWars https://t.co/fZidFx1nBB,0.7028,0.491,0.0,0.509,Sun Nov 26 21:12:48 +0000 2017
21,BBC,79,"RT @bbcstrictly: We're not crying, you are 😢 @keviclifton @SusanCalman #Strictly https://t.co/TbRmuFcjtJ",0.3724,0.203,0.0,0.797,Sun Nov 26 21:11:53 +0000 2017
22,BBC,78,"RT @bbcstrictly: ""This has been the best experience of my life"" ✨ RT if you've loved watching @SusanCalman and @keviclifton every week http…",0.8442,0.288,0.0,0.712,Sun Nov 26 21:11:45 +0000 2017
23,BBC,77,"RT @CBeebiesHQ: Congratulations to @HEYDUGGEE!

Winners of @BAFTA Children’s Pre-school animation at tonight’s #BAFTAKids 🙌

We’re jumping…",0.807,0.342,0.0,0.658,Sun Nov 26 21:11:33 +0000 2017
24,BBC,76,RT @BBCOne: One word: magnificent. #BluePlanet2 https://t.co/BYU9GXfipm,0.5994,0.394,0.0,0.606,Sun Nov 26 20:51:01 +0000 2017
25,BBC,75,"RT @BBCOne: 🎤 “I’m coming out. I want the world to know, got to let it show.” 🎤 #BluePlanet2 https://t.co/CDydVz7xVv",0.0772,0.075,0.0,0.925,Sun Nov 26 20:48:58 +0000 2017
26,BBC,74,'You can't mug off the Queen'. 😂 ⚒ 🎖 @MrDDyer playing Send To All with @McInTweet is brilliant.… https://t.co/OMG46hz51X,0.2023,0.107,0.0,0.893,Sun Nov 26 20:35:06 +0000 2017
27,BBC,73,RT @BBCOne: Sea otters: providing 100% of your daily requirement of cuteness. ❤️ #BluePlanet2 https://t.co/sZVOKUyVkr,0.5106,0.191,0.0,0.809,Sun Nov 26 20:20:17 +0000 2017
28,BBC,72,RT @BBCOne: Raiding the fridge in the middle of the night like… #BluePlanet2 https://t.co/RoSDcuJZpz,0.0,0.0,0.0,1.0,Sun Nov 26 20:13:59 +0000 2017
29,BBC,71,"Tonight, a team of scientists begin an expedition to Nyiragongo, one of the world's most dangerous volcanoes.… https://t.co/cP6Oo6ukqz",-0.5256,0.0,0.175,0.825,Sun Nov 26 20:03:04 +0000 2017
30,BBC,70,Can you guess the secret ingredient that magically turns into vegan mayo? Via @BBCFood. https://t.co/d8oB0dlkWR,0.0,0.0,0.0,1.0,Sun Nov 26 19:30:02 +0000 2017
31,BBC,69,'When did it get so heavy?' 🎶 💖 Hands up if you've had @AnneMarieIAm on repeat since #SLFN. 🙋 Via @BBCMusic https://t.co/Imr5DdbkPn,0.0,0.0,0.0,1.0,Sun Nov 26 19:15:04 +0000 2017
32,BBC,68,When is it not OK to pet a stranger's dog? 🙅🐶 https://t.co/KJlTScCCp3 https://t.co/TOdCkuGFhR,-0.3465,0.0,0.181,0.819,Sun Nov 26 18:30:08 +0000 2017
33,BBC,67,"""That was the happiest I've ever been"": 15-year-old Julia explains why @SimonCowell paid for her scoliosis surgery.… https://t.co/a1yrYK6FVh",0.6369,0.198,0.0,0.802,Sun Nov 26 18:03:01 +0000 2017
34,BBC,66,"As the weather takes a turn, we thought we'd celebrate the beauty &amp; splendour of what's been an awesome autumn. 🍂🍁… https://t.co/oy6fLtok2j",0.9413,0.465,0.0,0.535,Sun Nov 26 17:30:20 +0000 2017
35,BBC,65,Want to make a splash in the world of parenting? The #Motherland guide to pool parties is here to help! 🏊😂 Via… https://t.co/S390iq6fdm,0.7177,0.269,0.0,0.731,Sun Nov 26 17:00:05 +0000 2017
36,BBC,64,"RT @bbcf1: 'Thank you for everything'

Listen to the moment Felipe Massa crossed the finish line for the final time.

https://t.co/cXFgG2Pw…",0.3612,0.111,0.0,0.889,Sun Nov 26 16:46:43 +0000 2017
37,BBC,63,"RT @BBCR1: Dear #ARMY,

@AdeleRoberts has been busy over in Seoul working on a very special K-pop documentary featuring @BTS_twt! 😍

She's…",0.7082,0.246,0.0,0.754,Sun Nov 26 16:46:35 +0000 2017
38,BBC,62,RT @BBCSpringwatch: Hands up if you've spotted one of these cheeky chaps in your garden! 🙌🏽 https://t.co/po1DBtIVfC,0.0,0.0,0.0,1.0,Sun Nov 26 16:46:29 +0000 2017
39,BBC,61,RT @bbcthree: Dave is terminally ill and facing the inevitability of leaving his wife and step-kids behind. https://t.co/lLTLOTTZqi,-0.4215,0.0,0.141,0.859,Sun Nov 26 16:46:25 +0000 2017
40,BBC,60,👦🏿👧🏽👨🏾👵🏻 The artist who reveals our Pantone shades to expose – and subvert – our racial prejudices.… https://t.co/DdHuF9APqt,-0.1531,0.0,0.096,0.904,Sun Nov 26 16:30:11 +0000 2017
41,BBC,59,🐶🎖️ This heroic doggo has just won the highest award given to military animals. Via @BBCNewsbeat. https://t.co/xvplQNBFgT,0.8957,0.435,0.0,0.565,Sun Nov 26 16:00:04 +0000 2017
42,BBC,58,Everything you know about acid attacks is wrong. 🙅 https://t.co/r6Ga7XwKAr https://t.co/X7GxNjvefB,-0.7184,0.0,0.429,0.571,Sun Nov 26 15:00:09 +0000 2017
43,BBC,57,"'In today’s society, it isn’t appropriate': This mum wants Sleeping Beauty removed from her child’s curriculum. 📖… https://t.co/8I6gdr5i4z",0.5859,0.183,0.0,0.817,Sun Nov 26 14:33:04 +0000 2017
44,BBC,56,😂 @BBCTheSocial explore Justice League's crappiest moments. https://t.co/CjaQNCrOhT,0.5267,0.362,0.0,0.638,Sun Nov 26 14:00:03 +0000 2017
45,BBC,55,"Some people enjoy tasting new, exotic flavours, while others are averse. What's the psychology behind this preferen… https://t.co/HyD3yo0Dqu",0.4939,0.158,0.0,0.842,Sun Nov 26 13:00:07 +0000 2017
46,BBC,54,Fox hitches free ride on London sightseeing bus. 🦊 🇬🇧 https://t.co/eIvAXH6jsD https://t.co/C3pGb63t5F,0.5106,0.248,0.0,0.752,Sun Nov 26 12:33:04 +0000 2017
47,BBC,53,"Is this a roofing revolution for some of the world's poorest slums?
 #BBCInnovators via @BBCWorldService.
More 👉… https://t.co/1ANjC0kZBc",-0.5423,0.0,0.179,0.821,Sun Nov 26 12:00:06 +0000 2017
48,BBC,52,📸🇬🇧 A very British weekend: @RankinPhoto asked the people of Britain to capture a normal day in their lives one Oct… https://t.co/vboymPJsaS,0.0,0.0,0.0,1.0,Sun Nov 26 11:43:13 +0000 2017
49,BBC,51,🎬 Are Prince William &amp; Harry in the new Star Wars film? They wouldn't be the first royals to appear in the franchis… https://t.co/AYdWUD6ruB,-0.5574,0.0,0.141,0.859,Sun Nov 26 11:00:08 +0000 2017
50,BBC,50,"In a historic first, sailors from the Royal Navy are to perform the Changing the Guard outside Buckingham Palace.… https://t.co/ChYewkg80S",0.0,0.0,0.0,1.0,Sun Nov 26 10:32:03 +0000 2017
51,BBC,49,"Feeling anxious or stressed? You could try Forest Bathing. 🌳🌲

Don't worry, you won't need your swimmers! 👙
Via… https://t.co/Q5nrcZE7uN",-0.1989,0.166,0.199,0.636,Sun Nov 26 10:00:02 +0000 2017
52,BBC,48,RT @BBCWorld: Mount Agung: Bali volcano activity prompts 'red warning' https://t.co/HjL7JXmXRb,-0.34,0.0,0.194,0.806,Sun Nov 26 09:56:16 +0000 2017
53,BBC,47,"RT @BBCFOUR: 33 years ago today Band Aid recorded Do They Know It's Christmas? Watch the full video on #TOTP, featuring @SpandauBallet, @Du…",0.0,0.0,0.0,1.0,Sun Nov 26 09:53:51 +0000 2017
54,BBC,46,"RT @BBCRadio3: Starting at 9am, we'll be sharing a very special six-hour uninterrupted stream of music and meditations from around world.
h…",0.6997,0.234,0.0,0.766,Sun Nov 26 09:52:52 +0000 2017
55,BBC,45,"RT @bbcweather: For those of you hoping for something milder this week, look away now! #Brrrr Nick https://t.co/BBiFoEukPH",0.4753,0.154,0.0,0.846,Sun Nov 26 09:52:42 +0000 2017
56,BBC,44,"Despite its fascinating pink lakes and spectacular marine life, very few people have visited this Australian island… https://t.co/w3by5PxPIE",0.5423,0.171,0.0,0.829,Sun Nov 26 09:32:07 +0000 2017
57,BBC,43,📻 Most of us have no memories from before 2 or 3 - a phenomenon called 'infantile amnesia'. But why is this? 👶💭… https://t.co/FlmILDQbbF,-0.296,0.0,0.109,0.891,Sun Nov 26 09:00:11 +0000 2017
58,BBC,42,How to survive the afterlife like an ancient Egyptian. https://t.co/ydYx3qcZk4 https://t.co/ACPawp1Gyp,0.3612,0.2,0.0,0.8,Sun Nov 26 08:29:05 +0000 2017
59,BBC,41,"😫 ⏰ If you can't wake up without a strong coffee and six alarm clocks, you might have a disrupted body clock. Here'… https://t.co/LecILnmwzI",-0.6251,0.0,0.221,0.779,Sun Nov 26 08:07:03 +0000 2017
60,BBC,40,The frozen bodies of 15 men are discovered on an abandoned bus in the countryside. Witnesses: A Frozen Death. 9pm o… https://t.co/4mmpj5sEuy,-0.7845,0.0,0.266,0.734,Sat Nov 25 20:35:04 +0000 2017
61,BBC,39,"50 years since his murder, celebrate the wit, work and world of groundbreaking sixties playwright Joe Orton. Joe Or… https://t.co/t8jfLuTCwo",-0.25,0.14,0.178,0.682,Sat Nov 25 19:53:03 +0000 2017
62,BBC,38,Re-rewind! 🎤 🙌 Who else wants to watch @CraigDavid guest host #SLFN all over again? https://t.co/KQYcB5wY7D Via… https://t.co/A0ZMWPzZbq,0.0,0.0,0.0,1.0,Sat Nov 25 19:33:02 +0000 2017
63,BBC,37,The London mum using her maternity leave to travel the world &amp; giving a tropical twist to the Power Maternity Leave… https://t.co/XVvadZd70I,0.296,0.106,0.053,0.841,Sat Nov 25 18:30:06 +0000 2017
64,BBC,36,Claw blimey! 🦀 Here's why thousands of spider crabs gather together. #BluePlanet2 Via @BBCEarth https://t.co/nVkHpFsgxe,0.0,0.0,0.0,1.0,Sat Nov 25 18:14:06 +0000 2017
65,BBC,35,"RT @BBCMOTD: Chaos at Norwich...

A 'local bloke' from the crowd has come to the rescue. #bbcfootball https://t.co/nzUsoPXhzt",-0.1027,0.15,0.168,0.682,Sat Nov 25 17:30:42 +0000 2017
66,BBC,34,The @WorldPressPhoto's Noortje Gorter discusses what makes a world-beating image. 📸🐼 https://t.co/nwRCtV15Qh https://t.co/F6kRFdEuQr,0.0,0.0,0.0,1.0,Sat Nov 25 17:30:08 +0000 2017
67,BBC,33,RT @bbcstrictly: It's #Strictly Saturday! We are back tonight at 6:50pm on @BBCOne ✨ https://t.co/O3AyYmKZxZ,0.0,0.0,0.0,1.0,Sat Nov 25 17:25:18 +0000 2017
68,BBC,32,"RT @BBCR1: Here's 14 of the best Live Lounge performances of 2017 - has your fave made the list? 🤔

👉 https://t.co/szJlse5VtE https://t.co/…",0.7964,0.283,0.0,0.717,Sat Nov 25 17:24:41 +0000 2017
69,BBC,31,RT @BBCiPlayer: **** GEO block to local people only **** https://t.co/urwlB4ribR,-0.4404,0.0,0.225,0.775,Sat Nov 25 17:24:30 +0000 2017
70,BBC,30,RT @BBCOne: ✨ @GaryBarlow will be making a *very* special appearance on #MichaelMcIntyresBigShow tonight at 8.10pm. 🎤 https://t.co/A85hQdG3…,0.4019,0.162,0.0,0.838,Sat Nov 25 17:22:44 +0000 2017
71,BBC,29,"Glitter is a microplastic, and it's been making its way into the sea. 
Via @BBCNewsbeat. https://t.co/2ONMpJx9Cs",0.0,0.0,0.0,1.0,Sat Nov 25 17:00:05 +0000 2017
72,BBC,28,They were the inspiration for hundreds of memes. Now the famous stock shot couple have been given their own life st… https://t.co/QkWcAlCc4Q,0.5267,0.139,0.0,0.861,Sat Nov 25 16:00:08 +0000 2017
73,BBC,27,Emily is just one of a rapidly growing number of people battling antibiotic-resistant superbugs. 💊 Via @TWBBC. https://t.co/e4mPw72038,-0.0258,0.166,0.116,0.718,Sat Nov 25 15:00:05 +0000 2017
74,BBC,26,📸 Our selection of some of the most striking news photographs taken around the world last week.… https://t.co/SAUAirhcHf,0.0,0.0,0.0,1.0,Sat Nov 25 14:00:16 +0000 2017
75,BBC,25,"When it comes to our food, it's worth checking the label. Some of our daily staples are made of some strange ingred… https://t.co/fFTtduplRc",0.0258,0.077,0.073,0.85,Sat Nov 25 13:00:05 +0000 2017
76,BBC,24,Many know Phryne as the most beautiful woman of the ancient world. But this 'it girl' had a wit to match.… https://t.co/c6cIzJpzxC,0.6361,0.173,0.0,0.827,Sat Nov 25 12:00:06 +0000 2017
77,BBC,23,Giraffemania: When Europe went spotty for the 'camelopard' (and other giraffe facts). 🐫🐆 https://t.co/whMwaUoM5W https://t.co/Q8fiWnFVKS,0.0,0.0,0.0,1.0,Sat Nov 25 11:00:06 +0000 2017
78,BBC,22,RT @BBCSport: Why Rio Ferdinand and Frank Lampard stopped talking. Brutal. https://t.co/mjQUyknckJ,-0.7184,0.0,0.375,0.625,Sat Nov 25 10:23:33 +0000 2017
79,BBC,21,"RT @CBBC_Hacker: Somebody said @YasminEvans @fulljonnynelson and I were real smooth operators.

I think we got the wrong idea.

(in unrelat…",-0.4767,0.0,0.147,0.853,Sat Nov 25 10:22:09 +0000 2017
80,BBC,20,RT @bbcweather: Nasa expert shows us how Earth 'breathes' https://t.co/zok3zE3Ve2 Jo https://t.co/4TwDh3cCNV,0.0,0.0,0.0,1.0,Sat Nov 25 10:21:21 +0000 2017
81,BBC,19,"RT @bbctms: Here's a stat for you...

James Anderson (508) and Stuart Broad (391) have taken a combined 899 Test wickets! 👏👏

#Ashes #bbccr…",0.0,0.0,0.0,1.0,Sat Nov 25 10:20:43 +0000 2017
82,BBC,18,"RT @BBCSport: Fancy the best bits of that thrilling #RLWC2017 semi-final?

Watch #TONvENG highlights:
https://t.co/rN0kjK2Yrk #bbcrl https:…",0.8074,0.327,0.0,0.673,Sat Nov 25 10:19:13 +0000 2017
83,BBC,17,"Too many men suffer in silence. 
Via @BBCTheSocial. https://t.co/49vju6oZvV",-0.5423,0.0,0.304,0.696,Sat Nov 25 10:00:05 +0000 2017
84,BBC,16,Concerned about the negative effects glitter has on our marine life? Here's an eco-friendly guide to using it. 🌎 💖… https://t.co/6UECiJtY3j,-0.5719,0.0,0.163,0.837,Sat Nov 25 09:33:04 +0000 2017
85,BBC,15,"Are you or your partner a snorer, an early-riser or an insomniac? Here's how the way you sleep can affect someone y… https://t.co/GpAkAhrlvc",0.0,0.0,0.0,1.0,Sat Nov 25 08:59:04 +0000 2017
86,BBC,14,"Curfews, incentives, and science: this is how Iceland got its young people to give up drink and drugs. 🍻🙅 Via BBC W… https://t.co/sqt0y7dMEj",0.3182,0.095,0.0,0.905,Sat Nov 25 08:33:04 +0000 2017
87,BBC,13,Triops are thought to have been on our planet for more than 200 million years! Via @BBCSpringwatch. https://t.co/c7Rwp0sDOl,0.0,0.0,0.0,1.0,Sat Nov 25 08:00:02 +0000 2017
88,BBC,12,"RT @bbcmusic: .@AnneMarieIAm's #SLFN performance was TOTALLY flawless ✨

Heavy is such a tune 🎶 https://t.co/kUEdMWrG4I",0.6515,0.265,0.0,0.735,Fri Nov 24 22:09:43 +0000 2017
89,BBC,11,RT @BBCSpringwatch: When you get a bit carried away with the #BlackFriday sales... https://t.co/u22SAXDRh6,0.0,0.0,0.0,1.0,Fri Nov 24 22:09:10 +0000 2017
90,BBC,10,RT @BBCCiN: This happened a whole week ago! 😮 Thanks so so much to everyone who got involved and donated!! We could not have done this with…,0.5826,0.136,0.0,0.864,Fri Nov 24 22:09:06 +0000 2017
91,BBC,9,RT @bbcstrictly: When @ZoeTheBall surprises you live on air with a message from a special someone... #ItTakesTwo https://t.co/xt97pPs2rm,0.5574,0.247,0.0,0.753,Fri Nov 24 22:08:02 +0000 2017
92,BBC,8,Why would anyone donate their eggs to help a stranger have a child? Elaine Chong explains her reasons.… https://t.co/ESYULAHKfM,0.4019,0.144,0.0,0.856,Fri Nov 24 21:17:06 +0000 2017
93,BBC,7,A population of finches on the Galapagos has been discovered in the process of becoming a new species. 🐦… https://t.co/WbWSGc1zdu,0.0,0.0,0.0,1.0,Fri Nov 24 20:30:06 +0000 2017
94,BBC,6,"Janet sets the record straight. 😂

#PlanetJanet via @BBCTheSocial. https://t.co/H0xcUaIHfy",0.2263,0.192,0.0,0.808,Fri Nov 24 20:00:03 +0000 2017
95,BBC,5,✊ @PussyRrriot's new immersive show lets the audience experience the realities of imprisonment.… https://t.co/gjm0vheOT3,0.0,0.0,0.0,1.0,Fri Nov 24 19:35:04 +0000 2017
96,BBC,4,Did you know that all dolphins stranded on British shores must be offered to the Queen? Here are 8 unbelievable tru… https://t.co/83YHgUq7Wi,0.2023,0.083,0.0,0.917,Fri Nov 24 18:57:03 +0000 2017
97,BBC,3,Oxford Circus Tube station: Police respond to reports of shots fired. https://t.co/fk8KjpyQGf https://t.co/GHGtGogOIO,-0.5574,0.0,0.231,0.769,Fri Nov 24 17:37:03 +0000 2017
98,BBC,2,"RT @BBCBreaking: Everyone on Oxford Street told to go into a building while incident ongoing, London police say https://t.co/tiPTYyJaP6",0.0,0.0,0.0,1.0,Fri Nov 24 17:20:10 +0000 2017
99,BBC,1,"From being surprised by a polar bear to getting grabbed by a walrus underwater, wildlife cameraman @DougAllanCamera… https://t.co/gm81fAozaH",0.2263,0.112,0.0,0.888,Fri Nov 24 16:35:04 +0000 2017
100,CNN,100,Police in Beijing have detained a teacher as they investigate allegations that children were drugged and molested a… https://t.co/IjJsHNQMjR,-0.6808,0.0,0.259,0.741,Sun Nov 26 21:30:05 +0000 2017
101,CNN,99,Democratic Sen. Al Franken says he's 'embarrassed and ashamed' over groping allegations https://t.co/J5VOhKhXo6 https://t.co/BPXTzBqsJx,-0.6808,0.0,0.318,0.682,Sun Nov 26 21:15:11 +0000 2017
102,CNN,98,"Former ""Glee"" star Naya Rivera has been charged with domestic battery https://t.co/NmPqsHkeWT https://t.co/vLkf1B6VPC",-0.2023,0.0,0.13,0.87,Sun Nov 26 21:00:14 +0000 2017
